parent_ba,private_school,parent_inc,case_sample,control_sample
1,1,125,1,0
1,0,125,0,1
0,1,70,0,1
1,1,90,1,0
1,0,32.5,0,1
0,0,750,0,1
1,1,50,0,1
1,1,125,0,1
0,0,50,0,1
1,0,90,1,0
1,0,50,1,0
1,1,50,0,1
1,1,32.5,0,1
1,1,90,1,0
1,1,750,1,0
1,1,70,1,0
1,1,70,0,1
1,0,14,0,1
1,0,21.5,0,1
1,0,70,1,0
1,1,70,0,1
0,1,250,0,1
1,1,90,0,1
1,1,50,0,1
0,0,90,0,1
0,0,125,0,1
1,1,50,0,1
0,0,90,0,1
1,1,32.5,0,1
1,1,14,0,1
1,0,70,0,1
0,1,1,0,1
0,1,70,0,1
1,0,50,0,1
1,1,125,0,1
1,1,70,0,1
1,1,125,0,1
1,1,32.5,0,1
0,1,21.5,0,1
0,0,50,0,1
0,0,32.5,0,1
0,1,250,0,1
1,1,70,0,1
1,0,175,0,1
1,1,125,0,1
1,1,70,0,1
1,1,50,0,1
0,1,90,0,1
1,1,125,0,1
1,1,750,0,1
1,1,250,0,1
1,1,175,0,1
0,0,70,0,1
1,1,32.5,0,1
0,1,21.5,0,1
1,0,70,0,1
1,1,32.5,0,1
1,1,125,0,1
0,1,125,0,1
1,1,175,0,1
1,1,50,0,1
0,0,50,0,1
1,0,50,0,1
1,1,175,0,1
1,1,250,0,1
0,0,90,0,1
1,1,250,0,1
1,1,50,0,1
1,1,32.5,0,1
1,1,125,0,1
1,1,50,0,1
1,1,250,0,1
0,1,32.5,0,1
1,1,70,0,1
1,1,125,0,1
1,1,125,0,1
0,1,32.5,0,1
1,0,32.5,0,1
1,0,125,0,1
1,1,250,0,1
1,1,50,0,1
1,1,70,0,1
0,1,10,0,1
1,0,50,0,1
0,1,70,0,1
1,1,70,0,1
1,0,50,0,1
1,1,90,0,1
0,1,70,0,1
0,0,125,0,1
1,0,125,0,1
1,1,50,0,1
0,1,125,0,1
0,0,10,0,1
1,0,32.5,0,1
1,0,32.5,0,1
0,1,32.5,0,1
0,1,32.5,0,1
1,1,50,0,1
0,1,32.5,0,1
1,1,125,0,1
0,1,32.5,0,1
1,1,50,0,1
1,1,32.5,0,1
0,1,70,0,1
0,0,125,0,1
1,1,21.5,0,1
0,0,14,0,1
0,1,21.5,0,1
1,1,14,0,1
0,1,50,0,1
0,1,10,0,1
1,0,21.5,0,1
1,0,90,0,1
1,1,32.5,0,1
1,1,21.5,0,1
1,1,50,0,1
1,0,70,0,1
1,1,90,0,1
1,0,90,0,1
1,1,50,0,1
1,1,10,0,1
1,0,6,0,1
1,1,32.5,0,1
0,1,32.5,0,1
1,1,70,0,1
0,1,125,0,1
0,0,14,0,1
0,1,14,0,1
0,1,10,0,1
0,1,32.5,0,1
0,1,70,0,1
0,0,32.5,0,1
1,1,90,0,1
0,0,32.5,0,1
1,1,90,0,1
1,1,32.5,0,1
0,1,125,0,1
1,1,175,0,1
1,1,400,0,1
0,1,32.5,0,1
0,0,90,0,1
0,0,21.5,0,1
0,0,14,0,1
1,0,1000,0,1
0,0,50,0,1
1,0,50,0,1
1,1,125,0,1
1,0,32.5,0,1
1,1,50,0,1
1,0,70,0,1
1,1,21.5,0,1
1,1,50,0,1
1,1,70,0,1
0,0,32.5,0,1
1,1,14,0,1
1,1,50,0,1
1,1,90,0,1
1,1,32.5,0,1
1,1,70,0,1
1,1,32.5,0,1
1,1,32.5,0,1
1,1,50,0,1
1,0,70,0,1
1,0,14,0,1
0,0,21.5,0,1
1,1,90,0,1
0,1,10,0,1
0,1,10,0,1
1,1,125,0,1
1,1,21.5,0,1
0,1,21.5,0,1
1,1,90,0,1
1,1,21.5,0,1
1,0,70,0,1
1,0,32.5,0,1
0,1,70,0,1
1,1,10,0,1
1,1,50,0,1
1,1,21.5,0,1
1,0,50,0,1
0,1,90,0,1
1,1,70,0,1
1,1,32.5,0,1
1,0,10,0,1
0,0,14,0,1
1,1,175,0,1
1,1,250,0,1
1,1,175,0,1
0,1,32.5,0,1
1,0,70,0,1
1,1,50,0,1
1,1,32.5,0,1
1,1,1000,0,1
1,1,90,0,1
1,1,125,0,1
1,1,70,0,1
1,0,70,0,1
1,1,50,0,1
1,1,50,0,1
1,1,50,0,1
0,1,50,0,1
0,0,6,0,1
0,1,50,0,1
1,1,21.5,0,1
0,1,21.5,0,1
1,1,750,0,1
0,1,10,0,1
1,1,32.5,0,1
1,0,32.5,0,1
0,0,32.5,0,1
1,0,70,0,1
1,1,50,0,1
1,1,250,0,1
0,1,32.5,0,1
1,1,32.5,0,1
0,1,14,0,1
1,1,90,0,1
1,0,50,0,1
1,1,90,0,1
1,1,250,0,1
1,0,90,0,1
1,1,400,0,1
1,1,50,0,1
0,1,400,0,1
1,1,70,0,1
1,1,90,0,1
0,1,50,0,1
1,0,32.5,0,1
1,0,125,0,1
1,1,70,0,1
0,1,6,0,1
0,1,175,0,1
1,1,175,0,1
1,1,125,0,1
1,1,3,0,1
1,1,50,0,1
0,0,10,0,1
1,0,70,0,1
1,0,70,0,1
1,1,750,0,1
1,1,32.5,0,1
1,1,70,0,1
1,0,32.5,0,1
1,1,125,0,1
1,1,32.5,0,1
0,1,125,0,1
1,1,250,0,1
1,1,125,0,1
0,0,50,0,1
1,0,32.5,0,1
1,1,32.5,0,1
1,1,21.5,0,1
1,1,175,0,1
1,1,50,0,1
1,1,50,0,1
0,1,90,0,1
1,1,70,0,1
0,0,14,0,1
1,1,90,0,1
0,1,70,0,1
0,1,125,0,1
1,1,50,0,1
1,0,90,0,1
1,1,125,0,1
1,1,125,0,1
1,1,70,0,1
1,1,21.5,0,1
1,0,21.5,0,1
1,1,125,0,1
0,0,50,0,1
1,1,21.5,0,1
1,0,21.5,0,1
0,1,90,0,1
0,1,50,0,1
0,1,21.5,0,1
1,1,50,0,1
1,1,70,0,1
1,1,50,0,1
1,0,70,0,1
1,1,400,0,1
1,0,21.5,0,1
1,1,70,0,1
1,0,250,0,1
1,1,70,0,1
0,1,90,0,1
1,1,70,0,1
0,1,90,0,1
1,1,175,0,1
0,0,32.5,0,1
1,1,1000,0,1
1,0,21.5,0,1
1,1,125,0,1
1,0,32.5,0,1
1,0,70,0,1
0,1,50,0,1
1,1,70,0,1
1,1,50,0,1
1,1,70,0,1
1,0,400,0,1
1,0,10,0,1
1,0,21.5,0,1
0,1,125,0,1
1,1,50,0,1
1,0,14,0,1
1,1,70,0,1
1,1,90,0,1
0,0,125,0,1
0,1,90,0,1
1,1,21.5,0,1
0,1,50,0,1
1,1,21.5,0,1
1,1,1000,0,1
1,1,32.5,0,1
0,1,32.5,0,1
1,1,21.5,0,1
1,1,90,0,1
1,1,125,0,1
1,1,400,0,1
1,1,32.5,0,1
1,1,14,0,1
1,1,175,0,1
0,1,90,0,1
0,1,90,0,1
0,0,50,0,1
0,0,50,0,1
1,1,21.5,0,1
1,1,50,0,1
1,0,32.5,0,1
0,1,50,0,1
0,0,32.5,0,1
1,1,400,0,1
1,1,750,0,1
1,1,250,0,1
1,0,32.5,0,1
0,1,400,0,1
1,1,50,0,1
1,1,70,0,1
0,1,125,0,1
1,1,400,0,1
1,1,50,0,1
1,0,90,0,1
0,1,32.5,0,1
1,1,50,0,1
1,0,90,0,1
0,0,32.5,0,1
0,1,14,0,1
1,0,50,0,1
1,1,50,0,1
1,0,21.5,0,1
1,1,125,0,1
0,0,10,0,1
1,1,90,0,1
0,1,400,0,1
1,0,21.5,0,1
1,1,21.5,0,1
1,0,250,0,1
1,0,125,0,1
1,1,90,0,1
1,0,14,0,1
0,0,14,0,1
1,0,70,0,1
1,0,1000,0,1
0,1,32.5,0,1
1,1,21.5,0,1
0,0,14,0,1
0,0,32.5,0,1
1,0,50,0,1
1,1,175,0,1
1,1,70,0,1
1,1,14,0,1
1,0,32.5,0,1
1,1,175,0,1
1,1,175,0,1
1,0,400,0,1
1,1,70,0,1
1,0,21.5,0,1
0,0,125,0,1
0,1,32.5,0,1
1,1,250,0,1
1,1,70,0,1
0,0,50,0,1
1,1,70,0,1
1,1,14,0,1
1,0,50,0,1
1,1,32.5,0,1
1,0,70,0,1
1,0,32.5,0,1
1,0,32.5,0,1
0,0,21.5,0,1
0,0,32.5,0,1
0,0,10,0,1
1,0,32.5,0,1
1,1,70,0,1
1,1,32.5,0,1
1,1,32.5,0,1
0,1,70,0,1
0,1,21.5,0,1
1,1,250,0,1
1,1,32.5,0,1
1,1,50,0,1
1,1,400,0,1
0,1,21.5,0,1
0,1,32.5,0,1
1,1,32.5,0,1
1,1,125,0,1
1,1,125,0,1
1,0,32.5,0,1
0,1,32.5,0,1
1,1,50,0,1
0,0,10,0,1
1,1,32.5,0,1
0,1,50,0,1
1,0,21.5,0,1
1,1,70,0,1
0,0,21.5,0,1
1,1,32.5,0,1
1,1,400,0,1
0,0,50,0,1
1,1,250,0,1
0,0,32.5,0,1
0,1,32.5,0,1
0,1,21.5,0,1
1,1,70,0,1
1,1,250,0,1
0,1,50,0,1
0,1,32.5,0,1
0,0,6,0,1
0,1,21.5,0,1
1,1,50,0,1
1,0,21.5,0,1
0,0,32.5,0,1
1,1,70,0,1
1,0,32.5,0,1
0,1,125,0,1
0,1,400,0,1
1,1,125,0,1
0,0,50,0,1
1,0,21.5,0,1
1,1,70,0,1
1,0,21.5,0,1
1,1,32.5,0,1
1,0,14,0,1
1,1,32.5,0,1
1,1,50,0,1
0,1,125,0,1
1,0,32.5,0,1
0,0,32.5,0,1
0,0,50,0,1
0,1,50,0,1
1,1,14,0,1
0,1,90,0,1
0,0,1000,0,1
0,1,70,0,1
0,1,50,0,1
1,1,50,0,1
1,1,125,0,1
1,0,21.5,0,1
1,1,32.5,0,1
0,1,50,0,1
0,0,10,0,1
1,1,50,0,1
1,0,21.5,0,1
1,0,50,0,1
1,1,90,0,1
0,1,400,0,1
1,0,14,0,1
1,1,14,0,1
0,0,14,0,1
0,1,32.5,0,1
1,1,32.5,0,1
1,1,125,0,1
1,1,32.5,0,1
0,1,14,0,1
1,0,70,0,1
0,1,32.5,0,1
1,1,50,0,1
0,1,21.5,0,1
1,0,70,0,1
1,1,90,0,1
1,0,32.5,0,1
1,1,50,0,1
1,1,750,0,1
1,1,32.5,0,1
1,1,70,0,1
0,1,125,0,1
0,1,21.5,0,1
0,0,6,0,1
0,1,21.5,0,1
0,1,32.5,0,1
0,0,32.5,0,1
1,0,750,1,0
1,0,32.5,1,0
1,1,90,1,0
1,1,750,1,0
1,1,32.5,1,0
1,1,250,1,0
1,1,175,1,0
1,1,90,1,0
1,1,750,1,0
1,1,750,1,0
1,0,90,1,0
0,1,70,1,0
1,1,90,1,0
1,1,125,1,0
1,1,70,1,0
1,0,50,1,0
1,1,32.5,1,0
1,0,50,1,0
1,1,50,1,0
1,0,70,1,0
1,1,90,1,0
1,0,750,1,0
1,1,90,1,0
1,0,70,1,0
1,1,750,1,0
1,1,70,1,0
1,1,125,1,0
0,0,32.5,1,0
1,1,175,1,0
1,1,90,1,0
1,1,175,1,0
1,1,50,1,0
1,1,175,1,0
1,1,70,1,0
1,1,175,1,0
1,0,21.5,1,0
1,1,90,1,0
1,0,50,1,0
1,1,70,1,0
1,1,250,1,0
1,1,32.5,1,0
1,0,90,1,0
1,1,125,1,0
1,0,90,1,0
1,1,90,1,0
1,1,21.5,1,0
1,1,32.5,1,0
1,1,175,1,0
1,1,70,1,0
1,1,90,1,0
1,0,14,1,0
0,1,125,1,0
1,1,90,1,0
1,0,175,1,0
1,1,90,1,0
1,1,1000,1,0
0,1,32.5,1,0
1,0,1,1,0
1,1,50,1,0
1,1,50,1,0
1,1,70,1,0
1,1,250,1,0
1,0,1000,1,0
1,1,400,1,0
1,0,50,1,0
1,1,50,1,0
1,1,90,1,0
1,1,70,1,0
1,1,50,1,0
1,1,400,1,0
1,1,175,1,0
0,0,90,1,0
1,1,50,1,0
1,1,50,1,0
1,1,21.5,1,0
1,1,175,1,0
1,1,400,1,0
1,0,750,1,0
1,1,125,1,0
1,1,90,1,0
1,1,175,1,0
1,1,125,1,0
1,1,175,1,0
1,0,400,1,0
0,0,21.5,1,0
1,1,32.5,1,0
0,1,21.5,1,0
1,1,32.5,1,0
1,0,90,1,0
0,1,10,1,0
1,1,32.5,1,0
1,1,90,1,0
1,1,90,1,0
1,1,125,1,0
0,1,3,1,0
1,1,50,1,0
1,1,175,1,0
1,1,50,1,0
1,1,400,1,0
0,1,70,1,0
1,1,90,1,0
1,0,750,1,0
1,1,125,1,0
1,1,50,1,0
1,1,32.5,1,0
1,1,750,1,0
1,1,70,1,0
1,1,125,1,0
1,0,70,1,0
1,1,250,1,0
1,1,175,1,0
0,1,3,1,0
1,1,400,1,0
1,0,125,1,0
1,1,90,1,0
1,1,175,1,0
1,1,90,1,0
1,1,90,1,0
1,0,125,1,0
1,0,70,1,0
1,1,70,1,0
1,0,400,1,0
1,1,250,1,0
1,1,175,1,0
1,1,70,1,0
1,1,175,1,0
0,1,90,1,0
1,1,125,1,0
1,1,1000,1,0
0,1,21.5,1,0
1,1,125,1,0
1,1,250,1,0
1,1,125,1,0
1,1,400,1,0
0,1,750,1,0
1,1,175,1,0
1,1,125,1,0
1,0,70,1,0
1,1,750,1,0
0,0,250,1,0
1,1,750,1,0
1,1,250,1,0
1,0,125,1,0
1,1,750,1,0
1,1,400,1,0
1,1,50,1,0
0,1,70,1,0
1,1,400,1,0
1,1,70,1,0
1,0,90,1,0
1,1,70,1,0
1,1,90,1,0
1,0,750,1,0
1,1,125,1,0
1,0,90,1,0
1,1,50,1,0
1,1,50,1,0
1,0,90,1,0
1,0,70,1,0
1,1,90,1,0
1,1,125,1,0
1,1,90,1,0
1,0,32.5,1,0
1,1,90,1,0
1,1,32.5,1,0
1,1,21.5,1,0
1,1,175,1,0
1,1,70,1,0
1,0,50,1,0
1,1,21.5,1,0
1,1,32.5,1,0
1,1,90,1,0
1,1,750,1,0
1,1,70,1,0
1,0,21.5,1,0
1,0,175,1,0
1,1,750,1,0
1,1,400,1,0
1,1,400,1,0
0,1,750,1,0
1,0,70,1,0
0,0,250,1,0
1,1,250,1,0
1,1,750,1,0
1,1,400,1,0
0,0,750,1,0
1,1,175,1,0
1,0,90,1,0
1,1,90,1,0
0,1,70,1,0
0,1,250,1,0
1,1,90,1,0
1,0,400,1,0
0,0,32.5,1,0
1,1,90,1,0
1,0,70,1,0
1,1,250,1,0
1,1,90,1,0
